Date,Close/Last,Volume,Open,High,Low
08/30/2024,$165.11,18498780,$164.22,$165.28,$163.41
08/29/2024,$163.40,17133830,$166.06,$167.63,$161.982
08/28/2024,$164.50,15208740,$166.78,$167.39,$163.28
08/27/2024,$166.38,13718160,$167.61,$168.245,$166.16
08/26/2024,$167.93,11990310,$168.155,$169.38,$166.32
08/23/2024,$167.43,14281620,$166.55,$167.95,$165.66
08/22/2024,$165.49,19123780,$169.04,$169.42,$165.03
08/21/2024,$167.63,15269550,$166.99,$168.64,$166.57
08/20/2024,$168.96,12622520,$168.74,$170.41,$168.66
08/19/2024,$168.40,13100760,$167.00,$168.47,$166.09
08/16/2024,$164.74,16853140,$163.41,$166.95,$163.08
08/15/2024,$163.17,18392450,$162.21,$163.52,$161.49
08/14/2024,$162.03,22515900,$164.21,$164.96,$159.53
08/13/2024,$165.93,12717630,$165.185,$166.54,$164.77
08/12/2024,$163.95,12434970,$165.995,$166.70,$163.55
08/09/2024,$165.39,13549230,$161.645,$165.52,$160.93
08/08/2024,$163.84,15733610,$162.344,$165.50,$162.03
08/07/2024,$160.75,19334250,$163.24,$164.79,$160.24
08/06/2024,$160.54,36146540,$160.945,$162.35,$158.13
08/05/2024,$160.64,34907820,$157.37,$165.94,$156.60
08/02/2024,$168.40,18907770,$168.19,$170.21,$166.39
08/01/2024,$172.45,17177830,$171.98,$175.68,$170.51
07/31/2024,$173.15,15650150,$174.92,$175.91,$171.72
07/30/2024,$171.86,13681420,$171.83,$172.95,$170.12
07/29/2024,$171.13,13768930,$170.50,$172.16,$169.72
07/26/2024,$168.68,25150120,$168.77,$169.84,$165.865
07/25/2024,$169.16,28967880,$174.25,$175.20,$169.05
07/24/2024,$174.37,31250680,$175.39,$177.95,$173.57
07/23/2024,$183.60,23772600,$183.84,$185.22,$183.33
07/22/2024,$183.35,16303900,$182.35,$184.30,$181.90
07/19/2024,$179.39,14485900,$180.37,$181.97,$178.86
07/18/2024,$179.22,17877200,$183.54,$184.05,$178.21
07/17/2024,$182.62,17376560,$184.68,$185.23,$181.62
07/16/2024,$185.50,12760100,$188.96,$190.34,$185.12
07/15/2024,$188.19,12186020,$186.49,$189.90,$186.49
07/12/2024,$186.78,14449110,$186.92,$188.69,$186.14
07/11/2024,$187.30,16451980,$191.34,$192.41,$186.82
07/10/2024,$192.66,12052910,$190.75,$193.31,$190.62
07/09/2024,$190.44,10224930,$191.75,$192.86,$190.23
07/08/2024,$190.48,12097610,$191.365,$191.6791,$189.32
07/05/2024,$191.96,14303360,$187.32,$192.26,$187.32
07/03/2024,$187.39,7409106,$186.30,$187.62,$185.385
07/02/2024,$186.61,12555550,$183.47,$186.95,$183.06
07/01/2024,$184.49,11815860,$184.48,$185.34,$182.73
06/28/2024,$183.42,23032360,$185.72,$186.58,$183.325
06/27/2024,$186.86,13025660,$185.645,$187.50,$185.45
06/26/2024,$185.37,13375720,$184.20,$185.93,$183.99
06/25/2024,$185.58,18917730,$181.145,$185.75,$181.105
06/24/2024,$180.79,18198280,$181.28,$182.08,$180.23
06/21/2024,$180.26,59728020,$178.49,$182.5117,$178.06
06/20/2024,$177.71,16753170,$176.71,$178.74,$176.46
06/18/2024,$176.45,15640260,$178.79,$178.91,$175.62
06/17/2024,$178.78,15272860,$176.98,$179.92,$176.49
06/14/2024,$178.37,12361570,$175.852,$178.73,$175.852
06/13/2024,$176.74,15956940,$177.84,$178.51,$176.66
06/12/2024,$179.56,18600420,$179.75,$182.08,$177.78
06/11/2024,$178.19,14402400,$177.72,$178.39,$175.44
06/10/2024,$176.63,17122250,$176.45,$178.47,$174.38
06/07/2024,$175.95,14716270,$178.46,$179.42,$175.79
06/06/2024,$178.35,14255820,$177.43,$178.71,$177.21
06/05/2024,$177.07,15233860,$176.535,$177.97,$175.29
06/04/2024,$175.13,14066600,$174.45,$175.19,$173.22
06/03/2024,$174.42,20742800,$173.88,$175.86,$172.45
05/31/2024,$173.96,28085150,$173.40,$174.42,$170.97
05/30/2024,$173.56,18844040,$176.69,$176.69,$173.23
05/29/2024,$177.40,15023850,$176.81,$178.23,$176.26
05/28/2024,$178.02,15655340,$175.74,$178.51,$175.68
05/24/2024,$176.33,11403560,$176.52,$177.3044,$175.20
05/23/2024,$175.06,14928360,$178.78,$179.91,$174.54
05/22/2024,$178.00,16189400,$178.40,$178.852,$176.7801
05/21/2024,$179.54,14706020,$178.40,$179.82,$177.31
05/20/2024,$178.46,17495120,$177.31,$179.95,$177.225
05/17/2024,$177.29,16546350,$175.55,$177.495,$174.98
05/16/2024,$175.43,17247310,$174.60,$176.34,$174.05
05/15/2024,$173.88,20958250,$172.30,$174.0459,$172.03
05/14/2024,$171.93,18729460,$171.59,$172.78,$170.42
05/13/2024,$170.90,19648590,$165.847,$170.95,$165.76
05/10/2024,$170.29,18740460,$169.69,$171.34,$167.91
05/09/2024,$171.58,11937700,$171.15,$172.44,$169.93
05/08/2024,$171.16,14569860,$170.75,$171.9092,$170.522
05/07/2024,$172.98,21102430,$170.12,$173.47,$170.00
05/06/2024,$169.83,15147910,$169.22,$169.90,$167.89
05/03/2024,$168.99,22767060,$169.54,$169.85,$164.98
05/02/2024,$168.46,17041120,$166.67,$168.53,$165.69
05/01/2024,$165.57,25223250,$166.18,$168.81,$164.90
04/30/2024,$164.64,29420760,$167.38,$169.87,$164.50
04/29/2024,$167.90,35914560,$170.77,$171.38,$167.06
04/26/2024,$173.69,56500790,$175.99,$176.42,$171.40
04/25/2024,$157.95,36197790,$153.36,$158.28,$152.768
04/24/2024,$161.10,19485690,$159.09,$161.39,$158.82
04/23/2024,$159.92,16115410,$158.59,$160.48,$157.965
04/22/2024,$157.95,17243870,$156.01,$159.185,$155.66
04/19/2024,$155.72,21479880,$157.75,$157.99,$153.91
04/18/2024,$157.46,14016070,$156.925,$158.485,$156.21
04/17/2024,$156.88,16237750,$157.19,$158.681,$156.135
04/16/2024,$156.00,15413200,$155.64,$157.23,$155.05
04/15/2024,$156.33,21140950,$160.28,$160.83,$156.15
04/12/2024,$159.19,16989770,$159.405,$161.70,$158.60
04/11/2024,$160.79,17841700,$158.34,$161.1199,$157.93
04/10/2024,$157.66,16339170,$157.88,$158.16,$156.20
04/09/2024,$158.14,21538140,$157.35,$159.89,$156.64
04/08/2024,$156.14,16641530,$154.015,$156.655,$153.99
04/05/2024,$153.94,16297320,$151.68,$154.84,$151.081
04/04/2024,$151.94,24184840,$155.08,$156.18,$151.88
04/03/2024,$156.37,17266180,$154.92,$156.55,$154.1321
04/02/2024,$155.87,17598060,$154.75,$155.99,$153.46
04/01/2024,$156.50,24469820,$151.83,$157.00,$151.65
03/28/2024,$152.26,21105630,$152.00,$152.67,$151.33
03/27/2024,$151.94,16621960,$152.145,$152.69,$150.13
03/26/2024,$151.70,19312690,$151.24,$153.20,$151.03
03/25/2024,$151.15,15114730,$150.95,$151.456,$148.80
03/22/2024,$151.77,19252930,$150.24,$152.56,$150.09
03/21/2024,$148.74,19843920,$150.32,$151.305,$148.0101
03/20/2024,$149.68,17730000,$148.79,$149.76,$147.665
03/19/2024,$147.92,17748370,$148.98,$149.62,$147.01
03/18/2024,$148.48,47676690,$149.37,$152.93,$148.14
03/15/2024,$142.17,41039490,$143.41,$144.34,$141.1301
03/14/2024,$144.34,36117910,$142.30,$144.73,$141.485
03/13/2024,$140.77,19637000,$140.06,$142.19,$140.01
03/12/2024,$139.62,19019700,$138.25,$140.28,$138.21
03/11/2024,$138.94,22536370,$137.07,$139.98,$137.07
03/08/2024,$136.29,26495160,$135.035,$138.985,$134.80
03/07/2024,$135.24,24107280,$133.89,$135.82,$132.66
03/06/2024,$132.56,23175200,$134.24,$134.74,$131.95
03/05/2024,$133.78,28447550,$132.74,$134.02,$131.55
03/04/2024,$134.20,43571510,$136.54,$136.63,$132.86
